candidate_id,label,discovery_route,discovery_source,existing_representation,research_question,research_status,proposed_disposition,production_status,pilot_packet,evidence_claim_ids,next_action
deep_history,Deep history,user_seed,FIELD-DISCOVERY-2026.md,No dedicated entry,Assess scope and methods; investigate differences from Big History and from simply studying very early periods,queued,undecided,not_added,,[],Assess scope and methods; investigate differences from Big History and from simply studying very early periods
settler_colonial,Settler colonial studies,user_seed,FIELD-DISCOVERY-2026.md,No dedicated entry; related settler and Indigenous material exists,"Assess a distinct interdisciplinary formation, critics and regional differences; do not merge it with Indigenous or postcolonial history",queued,undecided,not_added,,[],"Assess a distinct interdisciplinary formation, critics and regional differences; do not merge it with Indigenous or postcolonial history"
planetary,Planetary history,user_seed,FIELD-DISCOVERY-2026.md,No dedicated entry,"Assess its programme and relationship to global, environmental and deep history without treating scale labels as synonyms",queued,undecided,not_added,,[],"Assess its programme and relationship to global, environmental and deep history without treating scale labels as synonyms"
anthropocene,Anthropocene debates,user_seed,FIELD-DISCOVERY-2026.md,No dedicated entry,"Assess a debate entry or addressable cluster; distinguish geological classification, historical periodization, causal arguments and politics",local_evidence_started,undecided,not_added,capitalism-corpus,[],Use selected local sources for a bounded overview; balance first-release attention across other fields.
oceanic,Oceanic history,user_seed,FIELD-DISCOVERY-2026.md,Acknowledged in `atlantic`; no dedicated oceanic entry,Investigate multiple ocean basins and material marine histories; avoid making Atlantic history stand for the whole field,queued,undecided,not_added,,[],Investigate multiple ocean basins and material marine histories; avoid making Atlantic history stand for the whole field
posthumanism,Posthumanism,user_seed,FIELD-DISCOVERY-2026.md,No dedicated entry,Assess a theoretical programme/resource and historically evidenced uptake; do not automatically classify it as a historical research field,queued,undecided,not_added,,[],Assess a theoretical programme/resource and historically evidenced uptake; do not automatically classify it as a historical research field
more_than_human,More-than-human history,user_seed,FIELD-DISCOVERY-2026.md,No dedicated entry; `environment` contains related nonhuman inquiry,"Assess a field/approach and its distinctions from posthumanist theory, environmental history and animal history",queued,undecided,not_added,,[],"Assess a field/approach and its distinctions from posthumanist theory, environmental history and animal history"
animal,Animal history,user_seed,FIELD-DISCOVERY-2026.md,Animals occur in `environment/ecological_exchange`; no dedicated entry,"Assess separate historical questions, sources and debates over agency; animal presence alone does not establish field coverage",local_evidence_started,undecided,not_added,capitalism-corpus,"[""cap_claim_white2011""]",Use selected local sources for a bounded overview; balance first-release attention across other fields.
trans_history,Trans history,user_seed,FIELD-DISCOVERY-2026.md,`queer/trans_intervention` contains Stryker's 1993/1994 intervention; no dedicated trans-history entry,"Assess a distinct field with its own archives and debates, retaining earlier contributions; trans critique alone does not exhaust trans history",queued,undecided,not_added,,[],"Assess a distinct field with its own archives and debates, retaining earlier contributions; trans critique alone does not exhaust trans history"
disability,Disability history,user_seed,FIELD-DISCOVERY-2026.md,No dedicated entry,"Assess a distinct field and connections to medical, social, labour and public history without reducing it to medical history",queued,undecided,not_added,,[],"Assess a distinct field and connections to medical, social, labour and public history without reducing it to medical history"
childhood,History of childhood,user_seed,FIELD-DISCOVERY-2026.md,"Substantive strands in `demography`, with disputed childhood evidence also in `psychohistory`",Assess a separate entry extending beyond family demography and psychological explanation,queued,undecided,not_added,,[],Assess a separate entry extending beyond family demography and psychological explanation
youth,History of youth,user_seed,FIELD-DISCOVERY-2026.md,No dedicated entry; scattered biographical/cultural references,"Assess connections and differences from childhood, education, generations and political culture",queued,undecided,not_added,,[],"Assess connections and differences from childhood, education, generations and political culture"
knowledge,History of knowledge / Wissensgeschichte,user_seed,FIELD-DISCOVERY-2026.md,Relevant inquiries in `science` and other entries; no dedicated field entry,"Assess a distinct programme; investigate differences among linguistic traditions and histories of science, knowledge and information",pilot_in_progress,separate_entry_recommended,not_added,history-of-knowledge,[],Complete pilot evidence and editorial scope review.
agnotology,Agnotology,user_seed,FIELD-DISCOVERY-2026.md,No dedicated entry,"Assess a programme/approach concerned with ignorance, its production and maintenance, and links to knowledge/science history",queued,undecided,not_added,,[],"Assess a programme/approach concerned with ignorance, its production and maintenance, and links to knowledge/science history"
humanities,History of the humanities,user_seed,FIELD-DISCOVERY-2026.md,No dedicated entry,"Assess a distinct field across humanities disciplines, rather than equating it with intellectual history or historiography alone",queued,undecided,not_added,,[],"Assess a distinct field across humanities disciplines, rather than equating it with intellectual history or historiography alone"
information,History of information,user_seed,FIELD-DISCOVERY-2026.md,No dedicated entry,"Assess a distinct entry/strand and relations to knowledge, media, archives and technology",queued,undecided,not_added,,[],"Assess a distinct entry/strand and relations to knowledge, media, archives and technology"
memory,Memory studies,user_seed,FIELD-DISCOVERY-2026.md,Full `memory` entry with Nora and other approaches,"Extend institutions, arguments and reception after 2000; do not date the whole field from the journal's launch",queued,undecided,not_added,,[],"Extend institutions, arguments and reception after 2000; do not date the whole field from the journal's launch"
great_divergence,Great Divergence debate,user_seed,FIELD-DISCOVERY-2026.md,Multiple explicit strands in `economic` and `global`,"Assess an addressable debate across those entries; extend claims, replies and works beyond 2000 without duplicating existing assertions",pilot_in_progress,addressable_debate_recommended,not_added,great-divergence,"[""cap_claim_goldstone2021"", ""cap_claim_broadberry2021""]",Complete pilot evidence and editorial scope review.
media_history,Media history,scholarly_survey_reference_expansion,"https://doi.org/10.1017/9781009047715, section 1.2",Related media material within memory and cultural histories; no dedicated topic entry.,"Assess distinct historical programme, earlier roots and post-2000 developments; compare existing strands.",lead_identified,undecided,not_added,history-of-knowledge,"[""hk_04""]",Find field-specific survey and programme evidence; do not infer origin from this survey.
book_history,History of the book,scholarly_survey_reference_expansion,"https://doi.org/10.1017/9781009047715, section 1.2",Related publishing/circulation material within intellectual and cultural histories; no dedicated topic entry.,"Assess distinct historical programme, earlier roots and post-2000 developments; compare existing strands.",lead_identified,undecided,not_added,history-of-knowledge,"[""hk_04""]",Find field-specific survey and programme evidence; do not infer origin from this survey.
education_history,History of education,scholarly_survey_reference_expansion,"https://doi.org/10.1017/9781009047715, section 1.2","Related childhood, university and knowledge material; no dedicated topic entry.","Assess distinct historical programme, earlier roots and post-2000 developments; compare existing strands.",lead_identified,undecided,not_added,history-of-knowledge,"[""hk_04""]",Find field-specific survey and programme evidence; do not infer origin from this survey.
professions_history,History of professions,scholarly_survey_reference_expansion,"https://doi.org/10.1017/9781009047715, section 1.2","Related science/human-sciences, medical and public-history strands; no dedicated topic entry.","Assess distinct historical programme, earlier roots and post-2000 developments; compare existing strands.",lead_identified,undecided,not_added,history-of-knowledge,"[""hk_04""]",Find field-specific survey and programme evidence; do not infer origin from this survey.
racial_capitalism,Racial capitalism,user_workspace_mining,/home/jic823/capitalism/field_graph/sources.json,"Related earlier Marxist, anti-colonial and environmental material; separate formation requires scope review.","Assess distinct programme, historical contributions and criticism without equating it with all capitalism or environmental history.",pilot_in_progress,undecided,not_added,capitalism-corpus,"[""cap_claim_gonzalez2022""]",Balanced programme and criticism reading; defer detailed expansion until breadth pass.
capitalocene,Capitalocene debates,user_workspace_mining,/home/jic823/capitalism/field_graph/sources.json,"Related earlier Marxist, anti-colonial and environmental material; separate formation requires scope review.","Assess distinct programme, historical contributions and criticism without equating it with all capitalism or environmental history.",pilot_in_progress,undecided,not_added,capitalism-corpus,"[""cap_claim_moore2017""]",Balanced programme and criticism reading; defer detailed expansion until breadth pass.
world_ecology,World-ecology,user_workspace_mining,/home/jic823/capitalism/field_graph/sources.json,"Related earlier Marxist, anti-colonial and environmental material; separate formation requires scope review.","Assess distinct programme, historical contributions and criticism without equating it with all capitalism or environmental history.",lead_identified,undecided,not_added,capitalism-corpus,[],Balanced programme and criticism reading; defer detailed expansion until breadth pass.
borderlands_history,Borderlands history,user_seed,FIELD-DISCOVERY-2026.md,"No dedicated entry or explicitly named borderlands strand; related spatial, national, imperial and Indigenous entries provide research contexts.","Assess a distinct field and earlier roots, contested sovereignty, border-making, mobility and cross-border communities across regions; distinguish frontier narratives and transnational history.",queued,undecided,not_added,,[],"Identify field surveys, programme statements and representative debates; compare regional traditions and post-2000 developments."
